Supplier Type,Supplier Department,Supplier Role Title,Supplier Role Description,Benchmark Department,Benchmark Role Title,Benchmark Role Description,Benchmark Avg Rate,Confidence Score,Fully Loaded Rate,Rate Difference,Years of Experience,Estimated Hours,Currency,Total Rate,Threshold,Total Cost Difference
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,influencer,"collaborates influencers, manages influencer partnerships, executes influencer marketing campaigns.",183.5,0.87757945,167,-16.5,,1800,USD,300600,High,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,social medium analyst,"analyzes social medium data metrics, provides insight recommendations, optimizes social medium performance.",114.5,0.83736444,113,-1.5,,1800,USD,203400,High,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,social medium strategist,"develops social medium strategies, manages social medium campaigns, analyzes social medium performance trends.",136.5,0.81663877,170,33.5,,1800,USD,306000,High,60300.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,blogger,"creates maintains blog content, writes article posts, manages blog engagement promotion.",111.5,0.7947723,110,-1.5,,1800,USD,198000,Medium,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,social medium strategist/planner,"develops social medium strategies, plan social medium campaigns, manages social medium content engagement initiatives.",145.5,0.7776805,170,24.5,,1800,USD,306000,Medium,44100.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,director social medium communication,"set social medium communication strategy, oversees social medium campaigns, ensures effective brand messaging engagement social platforms.",272.0,0.77338725,170,-102.0,,1800,USD,306000,Medium,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,senior social medium strategist,"develops advanced social medium strategies, conduct social medium audits, provides strategic guidance social medium campaigns.",164.0,0.77289957,170,6.0,,1800,USD,306000,Medium,10800.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,director social medium communication,"set social medium communication strategy, oversees social medium campaigns, ensures effective brand messaging engagement social platforms.",272.0,0.77019423,133,-139.0,,1800,USD,239400,Medium,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,social medium strategist,"develops social medium strategies, manages social medium campaigns, analyzes social medium performance trends.",136.5,0.7543691,113,-23.5,,1800,USD,203400,Medium,0.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,social medium copywriter,"creates compelling engaging social medium content, writes copy social medium posts, ensures brand consistency.",139.0,0.74120337,133,-6.0,,1800,USD,239400,Medium,0.0
